COMUNA,TIPO DE ACCIDENTE,GRAVEDAD,MES,DIA SEMANA,NUMERO ACCIDENTE
Belen,Caida ocupante,HERIDO,11,VIERNES  ,6
Corregimiento de Santa Elena,Choque,SOLO DANOS,03,MIERCOLES,2
Manrique,Otro,HERIDO,08,MARTES   ,4
Popular,Otro,SOLO DANOS,09,JUEVES   ,0
Laureles Estadio,Choque,MUERTO,11,MARTES   ,0
La Candelaria,Choque,SOLO DANOS,04,MIERCOLES,202
Aranjuez,Atropello,HERIDO,06,SABADO   ,10
El Poblado,Volcamiento,SOLO DANOS,10,MARTES   ,0
Popular,Choque,HERIDO,08,LUNES    ,7
San Javier,Choque,HERIDO,04,MARTES   ,5
El Poblado,Choque,SOLO DANOS,06,JUEVES   ,114
San Javier,Choque,HERIDO,12,LUNES    ,8
Popular,Caida ocupante,HERIDO,07,MIERCOLES,1
Otro,Choque,SOLO DANOS,11,VIERNES  ,5
Doce de Octubre,Volcamiento,HERIDO,07,JUEVES   ,0
Guayabal,Otro,HERIDO,08,MIERCOLES,16
La America,Volcamiento,HERIDO,05,VIERNES  ,1
La America,Atropello,HERIDO,08,MARTES   ,6
Buenos Aires,Choque,SOLO DANOS,11,VIERNES  ,21
Laureles Estadio,Choque,HERIDO,04,MIERCOLES,37
Corregimiento de San Antonio de Prado,Atropello,HERIDO,05,JUEVES   ,1
Guayabal,Atropello,HERIDO,06,JUEVES   ,10
Manrique,Otro,HERIDO,12,JUEVES   ,3
La America,Choque,HERIDO,09,LUNES    ,21
Villa Hermosa,Otro,HERIDO,01,SABADO   ,0
Belen,Otro,SOLO DANOS,01,LUNES    ,0
Castilla,Choque,HERIDO,08,LUNES    ,39
Buenos Aires,Choque,HERIDO,01,JUEVES   ,9
Manrique,Caida ocupante,HERIDO,10,SABADO   ,4
San Javier,Caida ocupante,HERIDO,08,MIERCOLES,3
Laureles Estadio,Choque,MUERTO,08,LUNES    ,0
La America,Choque,SOLO DANOS,04,DOMINGO  ,16
Belen,Otro,HERIDO,03,MARTES   ,9
Belen,Otro,HERIDO,11,LUNES    ,9
Corregimiento de San Cristobal,Otro,HERIDO,02,LUNES    ,1
Santa Cruz,Choque,SOLO DANOS,09,MARTES   ,5
La Candelaria,Otro,HERIDO,06,JUEVES   ,40
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,02,VIERNES  ,0
Buenos Aires,Choque,HERIDO,07,SABADO   ,15
Castilla,Caida ocupante,HERIDO,02,JUEVES   ,23
Guayabal,Volcamiento,SOLO DANOS,10,VIERNES  ,0
Popular,Caida ocupante,HERIDO,02,LUNES    ,3
Buenos Aires,Choque,SOLO DANOS,02,MIERCOLES,26
Laureles Estadio,Volcamiento,HERIDO,07,JUEVES   ,1
Guayabal,Otro,HERIDO,03,LUNES    ,13
Belen,Choque,SOLO DANOS,08,VIERNES  ,52
Buenos Aires,Caida ocupante,HERIDO,01,VIERNES  ,0
Buenos Aires,Otro,HERIDO,01,JUEVES   ,9
Robledo,Volcamiento,HERIDO,04,DOMINGO  ,0
